ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSDARG00000017219	606498	pabpc1a	poly(A) binding protein, cytoplasmic 1a
ENSDARG00000017220	777637	otud7b	OTU deubiquitinase 7B
ENSDARG00000017229	564571	megf10	multiple EGF-like-domains 10
ENSDARG00000017230	406825	fbxw11b	F-box and WD repeat domain containing 11b
ENSDARG00000017234	30714	npy8ar	neuropeptide Y receptor Y8a
ENSDARG00000017235	406464	eif5a	eukaryotic translation initiation factor 5A
ENSDARG00000017240	563887	traf5	Tnf receptor-associated factor 5
ENSDARG00000017242	393138	garem	GRB2 associated, regulator of MAPK1
ENSDARG00000017244	570753	chd6	chromodomain helicase DNA binding protein 6
ENSDARG00000017246	571950	prx	periaxin
ENSDARG00000017251	553408	smtlb	somatolactin beta
ENSDARG00000017254	561206	kcnk1b	potassium channel, subfamily K, member 1b
ENSDARG00000017255	791158	tmed1b	transmembrane p24 trafficking protein 1b
ENSDARG00000017261	445504	gdpd1	glycerophosphodiester phosphodiesterase domain containing 1
ENSDARG00000017266	794170	scml4	Scm polycomb group protein like 4
ENSDARG00000017272	327318	eapp	e2f-associated phosphoprotein
ENSDARG00000017274	30435	opn1sw2	opsin 1 (cone pigments), short-wave-sensitive 2
ENSDARG00000017294	327650	gnai2b	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2b
ENSDARG00000017299	447944	fabp4a	fatty acid binding protein 4a
ENSDARG00000017311	393410	gpsm2	G protein signaling modulator 2
ENSDARG00000017312	335257	lmbrd2b	LMBR1 domain containing 2b
ENSDARG00000017314	445282	cela1.6	chymotrypsin like elastase family member 1, tandem duplicate 6
ENSDARG00000017315	334956	larp7	La ribonucleoprotein 7, transcriptional regulator
ENSDARG00000017316	569580	bag5	BCL2 associated athanogene 5
ENSDARG00000017320	323696	f11r.1	F11 receptor, tandem duplicate 1
ENSDARG00000017321	554230	kdr	kinase insert domain receptor (a type III receptor tyrosine kinase)
ENSDARG00000017329	445316	cdkl1	cyclin-dependent kinase-like 1 (CDC2-related kinase)
ENSDARG00000017337	402944	zgc:77929	zgc:77929
ENSDARG00000017338	335881	kidins220b	kinase D-interacting substrate 220b
ENSDARG00000017340	402853	uts2b	urotensin 2, beta
ENSDARG00000017354	30689	epha2a	eph receptor A2 a
ENSDARG00000017355	558005	rsph9	radial spoke head component 9
ENSDARG00000017359	100148927	mettl8	methyltransferase like 8
ENSDARG00000017365	100321249	slc23a2	solute carrier family 23 member 2
ENSDARG00000017366	100000537	prdm4	PR domain containing 4
ENSDARG00000017367	563403	rhbdf1b	rhomboid 5 homolog 1b (Drosophila)
ENSDARG00000017369	30250	sema3d	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D
ENSDARG00000017385	436667	b9d2	B9 domain containing 2
ENSDARG00000017386	100006088	sobpb	sine oculis binding protein homolog (Drosophila) b
ENSDARG00000017388	393556	gstt1b	glutathione S-transferase theta 1b
ENSDARG00000017391	100535393	LOC100535393	protein unc-13 homolog B-like
ENSDARG00000017397	403020	smarcc1a	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1a
ENSDARG00000017398	568158	slc44a5a	solute carrier family 44 member 5a
ENSDARG00000017400	30104	klf1	Kruppel-like factor 1 (erythroid)
ENSDARG00000017422	266637	apmap	adipocyte plasma membrane associated protein
ENSDARG00000017423	100009659	patl1	PAT1 homolog 1, processing body mRNA decay factor
ENSDARG00000017425	101885282	crocc2	ciliary rootlet coiled-coil, rootletin family member 2
ENSDARG00000017427	327626	phf20l1	PHD finger protein 20 like 1
ENSDARG00000017429	100034387	sphkap	SPHK1 interactor, AKAP domain containing
ENSDARG00000017431	570359	mindy2	MINDY lysine 48 deubiquitinase 2
ENSDARG00000017437	564719	adcy3b	adenylate cyclase 3b
ENSDARG00000017439	553214	eif4ba	eukaryotic translation initiation factor 4Ba
ENSDARG00000017441	58143	mylz3	myosin, light polypeptide 3, skeletal muscle
ENSDARG00000017444	100004331	hal	histidine ammonia-lyase
ENSDARG00000017445	406263	eif3i	eukaryotic translation initiation factor 3, subunit I
ENSDARG00000017446	791176	camk1db	calcium/calmodulin-dependent protein kinase 1Db
ENSDARG00000017454	322969	nup50	nucleoporin 50
ENSDARG00000017466	114441	ncam2	neural cell adhesion molecule 2
ENSDARG00000017474	325371	zgc:110699	zgc:110699
ENSDARG00000017489	403118	ifi27.1	interferon alpha inducible protein 27.1
ENSDARG00000017490	322481	cel.1	carboxyl ester lipase, tandem duplicate 1
ENSDARG00000017494	560578	tgfbr1a	transforming growth factor, beta receptor 1 a
ENSDARG00000017500	317747	rock2a	rho-associated, coiled-coil containing protein kinase 2a
ENSDARG00000017504	562403	shtn2	shootin 2
ENSDARG00000017522	442930	ctdp1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1
ENSDARG00000017525	334465	ccnt1	cyclin T1
ENSDARG00000017532	558219	kif25	kinesin family member 25
ENSDARG00000017537	553319	prkag3a	protein kinase, AMP-activated, gamma 3a non-catalytic subunit
ENSDARG00000017542	393733	fgf1a	fibroblast growth factor 1a
ENSDARG00000017562	553659	banp	BTG3 associated nuclear protein
ENSDARG00000017565	798906	itk	IL2 inducible T cell kinase
ENSDARG00000017569	641577	reep3a	receptor accessory protein 3a
ENSDARG00000017571	405863	mccc2	methylcrotonoyl-CoA carboxylase 2 (beta)
ENSDARG00000017579	557783	si:ch211-195b15.7	si:ch211-195b15.7
ENSDARG00000017590	402904	nit2	nitrilase family, member 2
ENSDARG00000017591	406172	fat1a	FAT atypical cadherin 1a
ENSDARG00000017595	393211	ccdc6b	coiled-coil domain containing 6b
ENSDARG00000017602	266794	ccng2	cyclin G2
ENSDARG00000017605	415238	rpp40	ribonuclease P/MRP 40 subunit
ENSDARG00000017606	336339	sys1	SYS1 golgi trafficking protein
ENSDARG00000017612	402868	pnpo	pyridoxamine 5'-phosphate oxidase
ENSDARG00000017615	266965	tlx3b	T cell leukemia homeobox 3b
ENSDARG00000017617	445327	alg6	ALG6 alpha-1,3-glucosyltransferase
ENSDARG00000017624	794486	krt4	keratin 4
ENSDARG00000017634	386614	pdcb	phosducin b
ENSDARG00000017636	101055497	rnf167	ring finger protein 167
ENSDARG00000017649	100329245	LOC100329245	cadherin-7-like
ENSDARG00000017653	100037359	rgs13	regulator of G protein signaling 13
ENSDARG00000017657	550418	zgc:112163	zgc:112163
ENSDARG00000017658	445097	gmppb	GDP-mannose pyrophosphorylase B
ENSDARG00000017659	352933	sephs3	selenophosphate synthetase 3
ENSDARG00000017661	403065	braf	B-Raf proto-oncogene, serine/threonine kinase
ENSDARG00000017665	393806	snrkb	SNF related kinase b
ENSDARG00000017673	553201	nova2	NOVA alternative splicing regulator 2
ENSDARG00000017675	406571	utp4	UTP4 small subunit processome component
ENSDARG00000017676	337179	mmp2	matrix metallopeptidase 2
ENSDARG00000017687	393371	dnajc5gb	DnaJ (Hsp40) homolog, subfamily C, member 5 gamma b
ENSDARG00000017696	286787	utp25	UTP25 small subunit processor component
ENSDARG00000017703	393683	paqr3a	progestin and adipoQ receptor family member IIIa
ENSDARG00000017708	334130	lrrc40	leucine rich repeat containing 40
ENSDARG00000017710	393783	ppp1r14ab	protein phosphatase 1, regulatory (inhibitor) subunit 14Ab
ENSDARG00000017720	559987	si:ch211-106h11.1	si:ch211-106h11.1
ENSDARG00000017722	100004742	chrm4b	cholinergic receptor, muscarinic 4b
ENSDARG00000017728	436954	phb2b	prohibitin 2b
ENSDARG00000017739	548336	ak5l	adenylate kinase 5, like
ENSDARG00000017740	436861	sec63	SEC63 homolog, protein translocation regulator
ENSDARG00000017741	335512	g3bp1	GTPase activating protein (SH3 domain) binding protein 1
ENSDARG00000017742	568484	grm6a	glutamate receptor, metabotropic 6a
ENSDARG00000017744	321452	smc2	structural maintenance of chromosomes 2
ENSDARG00000017748	378998	arhgap29b	Rho GTPase activating protein 29b
ENSDARG00000017757	406598	pik3cg	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma
ENSDARG00000017762	192311	srrt	serrate RNA effector molecule homolog (Arabidopsis)
ENSDARG00000017772	399662	mdh1aa	malate dehydrogenase 1Aa, NAD (soluble)
ENSDARG00000017773	557762	slc16a12a	solute carrier family 16 member 12a
ENSDARG00000017775	394151	atp5mc3a	ATP synthase membrane subunit c locus 3a
ENSDARG00000017780	562258	rorcb	RAR-related orphan receptor C b
ENSDARG00000017781	450078	hsd17b10	hydroxysteroid (17-beta) dehydrogenase 10
ENSDARG00000017785	791177	zgc:158689	zgc:158689
ENSDARG00000017790	561906	chrnb2	cholinergic receptor, nicotinic, beta 2
ENSDARG00000017794	406799	sdr16c5b	short chain dehydrogenase/reductase family 16C, member 5b
ENSDARG00000017798	402921	bcor	BCL6 corepressor
ENSDARG00000017799	100334173	tgm1	transglutaminase 1, K polypeptide
ENSDARG00000017803	30654	gsk3ba	glycogen synthase kinase 3 beta, genome duplicate a
ENSDARG00000017809	63998	stard3	StAR-related lipid transfer (START) domain containing 3
ENSDARG00000017811	564023	si:ch211-210c8.6	si:ch211-210c8.6
ENSDARG00000017813	767675	pigs	phosphatidylinositol glycan anchor biosynthesis, class S
ENSDARG00000017821	30482	gata5	GATA binding protein 5
ENSDARG00000017834	556298	micall2b	mical-like 2b
ENSDARG00000017835	334402	brf1a	BRF1 RNA polymerase III transcription initiation factor subunit a
ENSDARG00000017841	406806	cand1	cullin-associated and neddylation-dissociated 1
ENSDARG00000017842	335226	syvn1	synovial apoptosis inhibitor 1, synoviolin
ENSDARG00000017843	393565	srsf1b	serine and arginine rich splicing factor 1b
ENSDARG00000017844	57970	copz1	COPI coat complex subunit zeta 1
ENSDARG00000017853	796680	prepl	prolyl endopeptidase like
ENSDARG00000017860	550519	rgs5b	regulator of G protein signaling 5b
ENSDARG00000017874	58154	dnajc3b	DnaJ (Hsp40) homolog, subfamily C, member 3b
ENSDARG00000017880	393755	kcnip3b	Kv channel interacting protein 3b, calsenilin
ENSDARG00000017882	378440	rdh1	retinol dehydrogenase 1
ENSDARG00000017884	431774	bgna	biglycan a
ENSDARG00000017886	555217	zbtb11	zinc finger and BTB domain containing 11
ENSDARG00000017891	30477	tcp1	t-complex 1
ENSDARG00000017901	556842	tln2a	talin 2a
ENSDARG00000017905	140621	casp3a	caspase 3, apoptosis-related cysteine peptidase a
ENSDARG00000017910	550349	pdss1	prenyl (decaprenyl) diphosphate synthase, subunit 1
ENSDARG00000017917	58132	her7	hairy and enhancer of split related-7
ENSDARG00000017927	100005880	cx36.7	connexin 36.7
ENSDARG00000017928	541414	xrcc3	X-ray repair complementing defective repair in Chinese hamster cells 3
ENSDARG00000017929	81884	ncoa2	nuclear receptor coactivator 2
ENSDARG00000017931	393406	ints6l	integrator complex subunit 6 like
ENSDARG00000017947	555232	ptk6a	PTK6 protein tyrosine kinase 6a
ENSDARG00000017953	368221	tp73	tumor protein p73
ENSDARG00000017960	334757	sfxn2	sideroflexin 2
ENSDARG00000017982	564475	cyp39a1	cytochrome P450, family 39, subfamily A, polypeptide 1
ENSDARG00000017983	553388	rsph14	radial spoke head 14 homolog
ENSDARG00000017984	100136844	zgc:172106	zgc:172106
ENSDARG00000017985	393870	zgc:77739	zgc:77739
ENSDARG00000017986	567879	vps13d	vacuolar protein sorting 13 homolog D
ENSDARG00000017988	568713	dse	dermatan sulfate epimerase
ENSDARG00000017994	557915	tssk6	testis-specific serine kinase 6
ENSDARG00000018000	100136855	ubp1	upstream binding protein 1
ENSDARG00000018002	334101	eci1	enoyl-CoA delta isomerase 1
ENSDARG00000018004	30696	nkx2.5	NK2 homeobox 5
ENSDARG00000018006	406694	vrk1	VRK serine/threonine kinase 1
ENSDARG00000018008	767794	mdh1b	malate dehydrogenase 1B, NAD (soluble)
ENSDARG00000018010	406626	crtap	cartilage associated protein
ENSDARG00000018022	406845	msh2	mutS homolog 2 (E. coli)
ENSDARG00000018025	573084	tbx2a	T-box transcription factor 2a
ENSDARG00000018032	793996	scn8ab	sodium channel, voltage gated, type VIII, alpha subunit b
ENSDARG00000018040	570586	msantd4	Myb/SANT-like DNA-binding domain containing 4 with coiled-coils
ENSDARG00000018047	562889	brms1lb	BRMS1 like transcriptional repressor b
ENSDARG00000018048	100124619	zgc:171704	zgc:171704
ENSDARG00000018049	570994	sf3b2	splicing factor 3b, subunit 2
ENSDARG00000018060	404211	pik3r2	phosphoinositide-3-kinase, regulatory subunit 2 (beta)
ENSDARG00000018061	393253	neil1	nei-like DNA glycosylase 1
ENSDARG00000018065	678534	ntm	neurotrimin
ENSDARG00000018066	562268	ptchd1	patched domain containing 1
ENSDARG00000018069	436597	rdh12	retinol dehydrogenase 12
ENSDARG00000018073	556778	mrps22	mitochondrial ribosomal protein S22
ENSDARG00000018077	791484	rbp1.1	retinol binding protein 1, cellular, tandem duplicate 1
ENSDARG00000018096	558292	scap	SREBF chaperone
ENSDARG00000018105	767757	casq1b	calsequestrin 1b
ENSDARG00000018106	394049	eif2b3	eukaryotic translation initiation factor 2B, subunit 3 gamma
ENSDARG00000018107	567288	rab3da	RAB3D, member RAS oncogene family, a
ENSDARG00000018109	415134	mafga	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog Ga
ENSDARG00000018110	431769	pak4	p21 protein (Cdc42/Rac)-activated kinase 4
ENSDARG00000018111	321248	kdm7aa	lysine (K)-specific demethylase 7Aa
ENSDARG00000018117	NA	NA	NA
ENSDARG00000018121	568957	cenpj	centromere protein J
ENSDARG00000018124	393544	psmd3	proteasome 26S subunit, non-ATPase 3
ENSDARG00000018145	322977	mid1ip1l	MID1 interacting protein 1, like
ENSDARG00000018146	352926	gpx1a	glutathione peroxidase 1a
ENSDARG00000018149	449771	slc38a4	solute carrier family 38 member 4
ENSDARG00000018153	798022	nt5c1ba	5'-nucleotidase, cytosolic IB a
ENSDARG00000018159	565195	ano10b	anoctamin 10b
ENSDARG00000018162	100034581	ctnnal1	catenin (cadherin-associated protein), alpha-like 1
ENSDARG00000018165	100003959	depdc1a	DEP domain containing 1a
ENSDARG00000018174	336421	gnai2a	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2a
ENSDARG00000018178	405822	pgm2	phosphoglucomutase 2
ENSDARG00000018179	266753	acvrl1	activin A receptor like type 1
ENSDARG00000018181	550341	dnajc28	DnaJ (Hsp40) homolog, subfamily C, member 28
ENSDARG00000018190	325704	get3	guided entry of tail-anchored proteins factor 3, ATPase
ENSDARG00000018192	334627	ubr5	ubiquitin protein ligase E3 component n-recognin 5
ENSDARG00000018206	393972	nck2a	NCK adaptor protein 2a
ENSDARG00000018228	100000981	htr2cl1	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled-like 1
ENSDARG00000018241	393992	mfap1	microfibril associated protein 1
ENSDARG00000018257	563288	ncoa1	nuclear receptor coactivator 1
ENSDARG00000018259	64610	atp1a3a	ATPase Na+/K+ transporting subunit alpha 3a
ENSDARG00000018260	30584	bmp7a	bone morphogenetic protein 7a
ENSDARG00000018263	394023	pdia2	protein disulfide isomerase family A, member 2
ENSDARG00000018264	445187	trim101	tripartite motif containing 101
ENSDARG00000018266	567587	mthfd1a	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1a, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
ENSDARG00000018270	436764	olfm1a	olfactomedin 1a
ENSDARG00000018272	449009	wdr33	WD repeat domain 33
ENSDARG00000018281	550471	cfap161	cilia and flagella associated protein 161
ENSDARG00000018283	393551	cyba	cytochrome b-245, alpha polypeptide
ENSDARG00000018285	403000	pdpk1b	3-phosphoinositide dependent protein kinase 1b
ENSDARG00000018296	570043	rev1	REV1 DNA directed polymerase
ENSDARG00000018301	NA	NA	NA
ENSDARG00000018303	30700	etv4	ETS variant transcription factor 4
ENSDARG00000018312	799556	rell1	RELT like 1
ENSDARG00000018319	393131	arglu1b	arginine and glutamate rich 1b
ENSDARG00000018321	564103	lbx1a	ladybird homeobox 1a
ENSDARG00000018325	641491	taf5	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor
ENSDARG00000018327	677740	illr3	immune-related, lectin-like receptor 3
ENSDARG00000018328	436718	rhocb	ras homolog family member Cb
ENSDARG00000018329	140425	gc2	guanylyl cyclase 2
ENSDARG00000018334	192299	rpl35	ribosomal protein L35
ENSDARG00000018342	569014	ggt1b	gamma-glutamyltransferase 1b
ENSDARG00000018351	394142	hpda	4-hydroxyphenylpyruvate dioxygenase a
ENSDARG00000018361	368270	sult1st3	sulfotransferase family 1, cytosolic sulfotransferase 3
ENSDARG00000018382	100144561	prkcha	protein kinase C, eta, a
ENSDARG00000018383	30119	frzb	frizzled related protein
ENSDARG00000018393	571549	kank2	KN motif and ankyrin repeat domains 2
ENSDARG00000018397	393696	hpca	hippocalcin
ENSDARG00000018399	562242	rps6kb1a	ribosomal protein S6 kinase b, polypeptide 1a
ENSDARG00000018404	352912	krt18a.1	keratin 18a, tandem duplicate 1
ENSDARG00000018411	555974	mknk1	MAPK interacting serine/threonine kinase 1
ENSDARG00000018418	30651	pth3r	parathyroid hormone 3 receptor
ENSDARG00000018423	393910	sulf2a	sulfatase 2a
ENSDARG00000018425	100007313	ddx61	DEAD (Asp-Glu-Ala-Asp) box helicase 61
ENSDARG00000018426	334197	aldh7a1	aldehyde dehydrogenase 7 family, member A1
ENSDARG00000018432	406486	m6pr	mannose-6-phosphate receptor (cation dependent)
ENSDARG00000018441	406202	heg1	heart development protein with EGF-like domains 1
ENSDARG00000018459	405857	msrb2	methionine sulfoxide reductase B2
ENSDARG00000018460	560384	mbnl2	muscleblind-like splicing regulator 2
ENSDARG00000018461	406286	zgc:56095	zgc:56095
ENSDARG00000018476	325034	pak2b	p21 protein (Cdc42/Rac)-activated kinase 2b
ENSDARG00000018478	79378	agxtb	alanine--glyoxylate and serine--pyruvate aminotransferase b
ENSDARG00000018485	494153	cyp2v1	cytochrome P450, family 2, subfamily V, polypeptide 1
ENSDARG00000018491	554998	pdia4	protein disulfide isomerase family A, member 4
ENSDARG00000018492	324913	znf503	zinc finger protein 503
ENSDARG00000018494	30432	smn1	survival of motor neuron 1, telomeric
ENSDARG00000018506	NA	NA	NA
ENSDARG00000018508	352941	zdhhc8b	zinc finger DHHC-type palmitoyltransferase 8b
ENSDARG00000018516	100332206	stk38b	serine/threonine kinase 38b
ENSDARG00000018521	80360	or115-1	odorant receptor, family F, subfamily 115, member 1
ENSDARG00000018524	323713	midn	midnolin
ENSDARG00000018529	406713	lipf	lipase, gastric
ENSDARG00000018530	557648	mapkapk2b	MAPK activated protein kinase 2b
ENSDARG00000018534	494490	slc6a9	solute carrier family 6 member 9
ENSDARG00000018542	559818	hapln4	hyaluronan and proteoglycan link protein 4
ENSDARG00000018553	565759	ifih1	interferon induced with helicase C domain 1
ENSDARG00000018559	503902	kdm7ab	lysine (K)-specific demethylase 7Ab
ENSDARG00000018562	492492	cope	COPI coat complex subunit epsilon
ENSDARG00000018566	100048921	flnca	filamin C, gamma a (actin binding protein 280)
ENSDARG00000018569	406471	tnfrsf1a	tumor necrosis factor receptor superfamily, member 1a
